epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
105,469199,10000000,11.256186,0.402786,0.674157,0.876632,0.901483,0.908197
106,486328,10000000,11.624829,0.381880,0.623316,0.867770,0.904451,0.909242
107,480620,10000000,11.493789,0.387560,0.642089,0.870771,0.903548,0.908171
108,467374,10000000,11.574157,0.407671,0.685119,0.872141,0.894093,0.898507
109,467583,10000000,11.252441,0.403180,0.677298,0.877382,0.901376,0.907747
110,478837,10000001,11.380165,0.388531,0.644514,0.872652,0.905335,0.911170
111,492488,10000000,11.619755,0.375552,0.599412,0.862880,0.908901,0.913748
112,474476,10000001,11.451989,0.393550,0.658501,0.873519,0.902318,0.906657
113,466372,10000000,11.317832,0.404478,0.682897,0.875128,0.898420,0.905816
114,469237,10000000,11.518126,0.400736,0.674359,0.873772,0.899098,0.902719
115,480716,10000000,11.394091,0.385227,0.636786,0.870970,0.905955,0.912137
116,483905,10000000,11.423205,0.383179,0.625953,0.868356,0.907850,0.913301
117,477681,10000000,11.536404,0.388661,0.646143,0.868810,0.901248,0.907951
118,482612,10000000,11.456746,0.381737,0.629671,0.867187,0.906266,0.912404
119,472977,10000000,11.524341,0.393797,0.658694,0.870935,0.901207,0.906406
120,464125,10000000,11.250310,0.406337,0.685945,0.876161,0.900902,0.905079
121,462340,10000000,11.305628,0.409891,0.691842,0.876442,0.899810,0.904631
122,476754,10000000,11.425142,0.387846,0.646726,0.868431,0.904190,0.909471
123,479753,10000000,11.639719,0.385530,0.638289,0.865648,0.902825,0.907392
124,477700,10000000,11.514216,0.385453,0.642556,0.866548,0.903827,0.909895
125,481475,10000001,11.745262,0.381712,0.634492,0.862140,0.901706,0.907385
126,471435,10000000,11.459578,0.394727,0.665192,0.868856,0.900351,0.906078
127,465280,10000000,11.251053,0.405016,0.682759,0.872154,0.901236,0.907963
128,476661,10000000,11.411359,0.388291,0.647257,0.865418,0.904064,0.910181
129,479694,10000000,11.753005,0.384285,0.641847,0.858943,0.898733,0.905842
130,477008,10000000,11.541880,0.386505,0.643048,0.862914,0.904192,0.910540
131,480977,10000001,11.627568,0.381451,0.631438,0.858875,0.903559,0.910054
132,461906,10000000,11.312243,0.409280,0.688610,0.868376,0.899936,0.907113
133,483560,10000000,11.626073,0.376969,0.623445,0.854936,0.905199,0.913343
134,463264,10000000,11.451792,0.409071,0.687662,0.865053,0.898742,0.905786
135,473021,10000000,11.621588,0.389469,0.659423,0.858698,0.900808,0.909023
136,462168,10000001,11.533611,0.406168,0.690111,0.863439,0.897128,0.904308
137,286339,10000000,32.631814,0.426903,0.469052,0.497564,0.516706,0.520331
138,113354,10000000,63.989652,0.000088,0.000124,0.000150,0.000176,0.000203
139,216178,10000000,27.294998,0.573916,0.583612,0.586873,0.588200,0.588608
140,482905,10000000,12.055131,0.376277,0.627293,0.855203,0.897839,0.905273
141,489494,10000000,12.195796,0.368225,0.604142,0.847577,0.899457,0.907625
142,480826,10000000,12.081375,0.379530,0.631347,0.854220,0.896771,0.903377
143,489479,10000000,11.941720,0.369174,0.600418,0.851134,0.903546,0.910779
144,483954,10000000,11.973316,0.376197,0.618292,0.855621,0.900823,0.906572
145,483851,10000000,11.880713,0.375264,0.617965,0.857132,0.901953,0.907996
146,489659,10000000,12.141102,0.369949,0.595935,0.851515,0.901221,0.907289
147,489183,10000000,12.146037,0.370444,0.600327,0.852710,0.900332,0.905868
148,487668,10000000,12.161280,0.373886,0.609622,0.854200,0.898771,0.903619
149,477418,10000000,11.828197,0.383450,0.638348,0.863501,0.897976,0.903232
150,496172,10000000,12.134490,0.367481,0.588121,0.850981,0.902610,0.908770
151,479287,10000000,12.076981,0.381402,0.635490,0.860578,0.895161,0.900771
152,496316,10000000,12.229783,0.365993,0.579069,0.849926,0.901956,0.908244
153,479879,10000000,12.062908,0.381138,0.629444,0.862792,0.897710,0.901404
154,493109,10000001,12.004443,0.371847,0.596645,0.857358,0.903920,0.909357
155,479946,10000000,11.908650,0.380584,0.629550,0.864866,0.899714,0.903712
156,482379,10000000,12.017575,0.380800,0.629028,0.864020,0.898001,0.902027
157,476428,10000000,11.754882,0.385657,0.641341,0.869149,0.899884,0.903706
158,488378,10000000,12.079750,0.375977,0.608072,0.860716,0.901046,0.904869
159,489934,10000000,12.007934,0.374044,0.601987,0.859422,0.900852,0.905959
160,485202,10000000,11.918968,0.378651,0.619152,0.863300,0.898807,0.904648
161,492375,10000000,11.975143,0.373742,0.592892,0.860389,0.904435,0.908389
162,489715,10000000,11.910899,0.373719,0.599220,0.861689,0.903125,0.910419
163,482611,10000000,11.994093,0.381342,0.627775,0.865565,0.897572,0.902717
164,489372,10000000,12.113693,0.374564,0.606669,0.860903,0.898413,0.903956
165,480718,10000000,11.961094,0.384708,0.632668,0.867409,0.897591,0.901487
