benchmark,page_bytes,word_bytes,mean_touched_frac,p_le_25pct,wasted_frac,pages
pr,65536,128,0.995741,0.001858,0.004259,191598
pr,65536,256,0.997844,0.001764,0.002156,191598
pr,65536,512,0.998008,0.001707,0.001992,191598
pr,65536,1024,0.998112,0.001623,0.001888,191598
pr,65536,2048,0.998216,0.001519,0.001784,191598
pr,65536,4096,0.998355,0.001394,0.001645,191598
pr,262144,64,0.981903,0.005344,0.018097,48090
pr,262144,128,0.991796,0.005282,0.008204,48090
pr,262144,256,0.993891,0.005157,0.006109,48090
pr,262144,512,0.994054,0.005074,0.005946,48090
pr,262144,1024,0.994158,0.005053,0.005842,48090
pr,262144,2048,0.994262,0.005032,0.005738,48090
pr,262144,4096,0.994400,0.004866,0.005600,48090
pr,2097152,64,0.948187,0.033253,0.051813,6225
pr,2097152,128,0.957741,0.033092,0.042259,6225
pr,2097152,256,0.959763,0.033092,0.040237,6225
pr,2097152,512,0.959921,0.033092,0.040079,6225
pr,2097152,1024,0.960021,0.032771,0.039979,6225
pr,2097152,2048,0.960122,0.032771,0.039878,6225
pr,2097152,4096,0.960255,0.032771,0.039745,6225
sssp,4096,64,0.567932,0.355560,0.432068,2285224
sssp,4096,128,0.591016,0.327687,0.408984,2285224
sssp,4096,256,0.623727,0.281050,0.376273,2285224
sssp,4096,512,0.674996,0.229090,0.325004,2285224
sssp,4096,1024,0.750379,0.180496,0.249621,2285224
sssp,4096,2048,0.855100,0.000000,0.144900,2285224
sssp,8192,64,0.488701,0.443966,0.511299,1327861
sssp,8192,128,0.508563,0.418763,0.491437,1327861
sssp,8192,256,0.536711,0.366329,0.463289,1327861
sssp,8192,512,0.580827,0.292553,0.419173,1327861
sssp,8192,1024,0.645694,0.225747,0.354306,1327861
sssp,8192,2048,0.735806,0.170080,0.264194,1327861
sssp,8192,4096,0.860491,0.000000,0.139509,1327861
sssp,16384,64,0.416323,0.526056,0.583677,779355
sssp,16384,128,0.433244,0.502848,0.566756,779355
sssp,16384,256,0.457223,0.452465,0.542777,779355
sssp,16384,512,0.494805,0.367988,0.505195,779355
sssp,16384,1024,0.550065,0.288286,0.449935,779355
sssp,16384,2048,0.626831,0.220763,0.373169,779355
sssp,16384,4096,0.733050,0.161790,0.266950,779355
sssp,65536,64,0.321721,0.653696,0.678279,252131
sssp,65536,128,0.334797,0.635872,0.665203,252131
sssp,65536,256,0.353327,0.596277,0.646673,252131
sssp,65536,512,0.382370,0.499352,0.617630,252131
sssp,65536,1024,0.425073,0.389980,0.574927,252131
sssp,65536,2048,0.484395,0.303422,0.515605,252131
sssp,65536,4096,0.566477,0.230325,0.433523,252131
sssp,262144,64,0.274277,0.741411,0.725723,73936
sssp,262144,128,0.285425,0.728914,0.714575,73936
sssp,262144,256,0.301222,0.700146,0.698778,73936
sssp,262144,512,0.325982,0.606565,0.674018,73936
sssp,262144,1024,0.362388,0.446102,0.637612,73936
sssp,262144,2048,0.412962,0.340294,0.587038,73936
sssp,262144,4096,0.482940,0.262362,0.517060,73936
sssp,2097152,64,0.258396,0.822120,0.741604,9810
sssp,2097152,128,0.268899,0.818349,0.731101,9810
sssp,2097152,256,0.283782,0.809786,0.716218,9810
sssp,2097152,512,0.307108,0.751478,0.692892,9810
sssp,2097152,1024,0.341406,0.473904,0.658594,9810
sssp,2097152,2048,0.389051,0.350459,0.610949,9810
sssp,2097152,4096,0.454977,0.263405,0.545023,9810
tc,4096,64,0.696187,0.089677,0.303813,741660
tc,4096,128,0.722550,0.081736,0.277450,741660
tc,4096,256,0.766210,0.073698,0.233790,741660
tc,4096,512,0.810728,0.068064,0.189272,741660
